"","id","team_api_id","team_fifa_api_id","team_long_name","team_short_name","max_build","max_chance","max_defence","goal"
"1",1,9987,673,"KRC Genk","GEN",148,182,205,348
"2",2,9993,675,"Beerschot AC","BAC",NA,185,210,174
"3",3,10000,15005,"SV Zulte-Waregem","ZUL",147,153,200,306
"4",4,9994,2007,"Sporting Lokeren","LOK",159,154,200,279
"5",5,9984,1750,"KSV Cercle Brugge","CEB",145,200,195,213
"6",6,8635,229,"RSC Anderlecht","AND",149,182,190,427
"7",7,9991,674,"KAA Gent","GEN",142,184,166,390
"8",8,9998,1747,"RAEC Mons","MON",160,168,138,129
"9",9,7947,NA,"FCV Dender EH","DEN",NA,NA,NA,44
"10",10,9985,232,"Standard de Liège","STL",161,182,205,341
"11",11,8203,110724,"KV Mechelen","MEC",134,150,190,285
"12",12,8342,231,"Club Brugge KV","CLB",139,170,200,421
"13",13,9999,546,"KSV Roeselare","ROS",NA,125,205,62
"14",14,8571,100081,"KV Kortrijk","KOR",129,159,185,267
"15",15,4049,NA,"Tubize","TUB",NA,NA,NA,35
"16",16,9996,111560,"Royal Excel Mouscron","MOU",150,150,140,42
"17",17,10001,681,"KVC Westerlo","WES",148,167,210,217
"18",18,9986,670,"Sporting Charleroi","CHA",160,148,210,201
"19",614,9997,680,"Sint-Truidense VV","STT",NA,154,150,115
"20",1034,9989,239,"Lierse SK","LIE",171,169,159,113
"21",1042,6351,2013,"KAS Eupen","EUP",NA,160,155,28
"22",1513,1773,100087,"Oud-Heverlee Leuven","O-H",153,157,137,126
"23",2004,8475,110913,"Waasland-Beveren","WAA",132,140,114,105
"24",2476,8573,682,"KV Oostende","OOS",155,140,133,102
"25",2510,274581,111560,"Royal Excel Mouscron","MOP",150,150,140,71
"26",3457,10260,11,"Manchester United","MUN",134,200,163,582
"27",3458,10261,13,"Newcastle United","NEW",152,195,161,324
"28",3459,9825,1,"Arsenal","ARS",140,150,170,573
"29",3460,8659,109,"West Bromwich Albion","WBA",145,195,210,305
"30",3461,8472,106,"Sunderland","SUN",154,195,165,333
"31",3462,8650,9,"Liverpool","LIV",171,180,172,531
"32",3463,8654,19,"West Ham United","WHU",184,171,140,326
"33",3464,8528,1917,"Wigan Athletic","WIG",144,190,165,200
"34",3465,10252,2,"Aston Villa","AVL",170,185,145,335
"35",3466,8456,10,"Manchester City","MCI",123,210,180,606
"36",3467,8668,7,"Everton","EVE",137,180,180,439
"37",3468,8655,3,"Blackburn Rovers","BLB",185,185,160,175
"38",3469,8549,12,"Middlesbrough","MID",144,190,147,28
"39",3470,8586,18,"Tottenham Hotspur","TOT",133,210,181,481
"40",3471,8559,4,"Bolton Wanderers","BOL",167,185,154,181
"41",3472,10194,1806,"Stoke City","STK",138,195,153,322
"42",3473,8667,1952,"Hull City","HUL",151,195,210,144
"43",3474,9879,144,"Fulham","FUL",142,190,138,265
"44",3475,8455,5,"Chelsea","CHE",157,200,168,583
"45",3476,8462,1790,"Portsmouth","POR",148,195,150,72
"46",4218,8658,88,"Birmingham City","BIR",174,210,210,75
"47",4225,8602,110,"Wolverhampton Wanderers","WOL",136,210,210,118
"48",4234,8191,1796,"Burnley","BUR",154,210,205,70
"49",4996,8483,1926,"Blackpool","BLA",183,205,210,55
"50",5744,10003,1960,"Swansea City","SWA",131,210,210,233
"51",5747,10172,15,"Queens Park Rangers","QPR",141,210,210,115
"52",5756,9850,1792,"Norwich City","NOR",138,195,200,160
"53",6504,8466,17,"Southampton","SOU",129,205,210,216
"54",6509,9798,1793,"Reading","REA",144,210,200,43
"55",7261,9826,1799,"Crystal Palace","CRY",173,205,185,119
"56",7276,8344,1961,"Cardiff City","CAR",168,210,210,32
"57",8021,8197,95,"Leicester City","LEI",164,185,210,114
"58",8779,8678,1943,"Bournemouth","BOU",139,200,210,45
"59",8784,9817,1795,"Watford","WAT",160,205,205,40
"60",9537,8583,57,"AJ Auxerre","AUX",168,164,145,168
"61",9538,9830,71,"FC Nantes","NAN",189,160,152,135
"62",9539,9827,59,"Girondins de Bordeaux","BOR",139,190,195,404
"63",9540,7819,210,"SM Caen","CAE",157,165,205,220
"64",9541,9746,1738,"Le Havre AC","LEH",154,180,168,30
"65",9542,9831,72,"OGC Nice","NIC",175,165,210,342
"66",9543,8682,1739,"Le Mans FC","LEM",NA,195,200,79
"67",9544,8689,217,"FC Lorient","LOR",158,180,200,378
"68",9545,9748,66,"Olympique Lyonnais","LYO",161,185,200,497
"69",9546,9941,1809,"Toulouse FC","TOU",158,165,140,339
"70",9547,9829,69,"AS Monaco","MON",168,165,205,287
"71",9548,9847,73,"Paris Saint-Germain","PSG",174,191,210,568
"72",9549,8481,1823,"AS Nancy-Lorraine","NAN",146,172,210,203
"73",9550,8639,65,"LOSC Lille","LIL",152,184,180,450
"74",9551,9851,74,"Stade Rennais FC","REN",167,195,210,367
"75",9552,8592,219,"Olympique de Marseille","MAR",169,210,200,462
"76",9553,9874,226,"FC Sochaux-Montbéliard","SOC",164,184,165,246
"77",9554,9855,1805,"Grenoble Foot 38","GRE",NA,195,195,55
"78",9555,9873,110456,"Valenciennes FC","VAL",160,188,155,256
"79",9556,9853,1819,"AS Saint-Étienne","ETI",165,175,148,371
"80",10300,8588,64,"RC Lens","LEN",165,180,200,107
"81",10309,10249,70,"Montpellier Hérault SC","MON",162,160,210,344
"82",10312,4170,111376,"US Boulogne Cote D'Opale","BOU",NA,165,200,31
"83",11074,108893,111989,"AC Arles-Avignon","ARL",156,141,158,21
"84",11076,8521,378,"Stade Brestois 29","BRE",161,168,210,99
"85",11817,8576,614,"AC Ajaccio","AJA",168,180,140,116
"86",11822,4087,111271,"Évian Thonon Gaillard FC","ETG",156,180,165,180
"87",11825,9836,110569,"Dijon FCO","DIJ",154,165,149,38
"88",12587,9837,379,"Stade de Reims","REI",154,165,140,168
"89",12594,7794,58,"SC Bastia","BAS",174,156,210,165
"90",12595,10242,294,"ES Troyes AC","TRO",148,150,140,71
"91",13343,9747,62,"En Avant de Guingamp","GUI",169,170,145,122
"92",14106,8550,68,"FC Metz","MET",152,175,150,31
"93",14868,8121,1530,"Angers SCO","ANG",159,180,140,40
"94",14876,6391,110316,"GFC Ajaccio","GAJ",153,179,146,37
"95",15617,9823,21,"FC Bayern Munich","BMU",97,205,184,653
"96",15618,9790,28,"Hamburger SV","HAM",164,200,175,344
"97",15619,8178,32,"Bayer 04 Leverkusen","LEV",157,210,200,483
"98",15620,9789,22,"Borussia Dortmund","DOR",170,194,178,551
"99",15621,10189,34,"FC Schalke 04","S04",143,195,185,426
"100",15622,9904,485,"Hannover 96","HAN",144,175,210,359
"101",15623,8721,175,"VfL Wolfsburg","WOL",170,210,171,463
"102",15624,8722,31,"1. FC Köln","FCK",171,165,170,226
"103",15625,9810,1824,"Eintracht Frankfurt","EFR",153,165,151,296
"104",15626,8177,166,"Hertha BSC Berlin","HBE",175,172,155,238
"105",15627,9912,159,"DSC Arminia Bielefeld","BIE",166,165,138,29
"106",15628,8697,38,"SV Werder Bremen","WBR",174,216,205,423
"107",15629,8398,162,"FC Energie Cottbus","COT",126,175,206,30
"108",15630,8226,10029,"TSG 1899 Hoffenheim","HOF",180,191,200,400
"109",15631,9788,23,"Borussia Mönchengladbach","GLA",116,185,160,403
"110",15632,10269,36,"VfB Stuttgart","STU",168,200,175,415
"111",15633,8295,1832,"Karlsruher SC","KAR",164,205,170,30
"112",15634,9911,160,"VfL Bochum","BOC",164,172,172,72
"113",16237,8358,25,"SC Freiburg","FRE",151,160,158,245
"114",16239,8165,171,"1. FC Nürnberg","NUR",153,180,162,193
"115",16243,9905,169,"1. FSV Mainz 05","MAI",178,185,170,320
"116",16848,8350,29,"1. FC Kaiserslautern","KAI",167,185,210,72
"117",16850,8152,110329,"FC St. Pauli","STP",161,190,185,35
"118",17465,8406,100409,"FC Augsburg","AUG",169,188,161,201
"119",18074,8194,110636,"Fortuna Düsseldorf","FDU",198,190,169,39
"120",18079,8357,165,"SpVgg Greuther Fürth","GRF",167,170,170,26
"121",18691,9776,110500,"Eintracht Braunschweig","BRA",183,195,157,29
"122",19305,8460,10030,"SC Paderborn 07","PAD",175,168,145,31
"123",19916,8234,111239,"FC Ingolstadt 04","ING",160,151,140,33
"124",19917,8262,110502,"SV Darmstadt 98","DAR",179,174,129,38
"125",20513,8524,39,"Atalanta","ATA",146,170,165,283
"126",20514,8551,1838,"Siena","SIE",144,183,160,149
"127",20515,8529,1842,"Cagliari","CAG",167,196,187,309
"128",20516,8543,46,"Lazio","LAZ",188,220,190,417
"129",20517,8530,110364,"Catania","CAT",175,178,147,251
"130",20518,10233,110556,"Genoa","GEN",184,182,154,392
"131",20519,8533,192,"Chievo Verona","CHI",187,170,165,285
"132",20520,8690,203,"Reggio Calabria","REG",163,186,140,30
"133",20521,8535,110374,"Fiorentina","FIO",121,172,184,440
"134",20522,9885,45,"Juventus","JUV",105,195,169,543
"135",20523,8564,47,"Milan","ACM",170,177,164,496
"136",20524,9857,189,"Bologna","BOL",164,175,135,263
"137",20525,8686,52,"Roma","ROM",153,208,155,530
"138",20526,9875,48,"Napoli","NAP",180,215,165,514
"139",20527,9882,1837,"Sampdoria","SAM",130,180,175,318
"140",20528,8636,44,"Inter","INT",182,203,165,496
"141",20529,9804,54,"Torino","TOR",209,189,145,241
"142",20530,9888,347,"Lecce","LEC",NA,175,165,121
"143",20531,8600,55,"Udinese","UDI",205,199,160,415
"144",20532,8540,1843,"Palermo","PAL",168,165,152,351
"145",21280,9976,1848,"Bari","BAR",157,193,161,76
"146",21285,8537,1844,"Livorno","LIV",183,172,163,66
"147",21292,10167,50,"Parma","PAR",152,176,166,272
"148",22042,9880,110915,"Cesena","CES",143,170,145,98
"149",22044,9858,190,"Brescia","BRE",141,180,155,34
"150",22805,6269,112225,"Novara","NOV",179,172,151,34
"151",23523,9878,200,"Pescara","PES",152,180,145,27
"152",24273,9876,206,"Hellas Verona","VER",157,173,169,145
"153",24288,7943,111974,"Sassuolo","SAS",188,186,138,141
"154",25048,8534,1746,"Empoli","EMP",145,186,164,86
"155",25791,9891,111657,"Frosinone","FRO",157,156,193,35
"156",25804,208931,112409,"Carpi","CAP",190,160,141,37
"157",26547,8277,1909,"Vitesse","VIT",145,173,180,423
"158",26548,8674,1915,"FC Groningen","GRO",142,177,149,390
"159",26549,9803,1902,"Roda JC Kerkrade","ROD",133,159,146,343
"160",26550,8611,1908,"FC Twente","TWE",131,172,197,509
"161",26551,8525,1907,"Willem II","WII",150,166,153,222
"162",26552,8593,245,"Ajax","AJA",117,199,193,647
"163",26553,8464,1910,"N.E.C.","NEC",150,158,146,310
"164",26554,8526,635,"De Graafschap","GRA",NA,153,137,130
"165",26555,9908,1903,"FC Utrecht","UTR",152,182,159,408
"166",26556,8640,247,"PSV","PSV",153,200,167,652
"167",26557,9791,100634,"Heracles Almelo","HER",147,173,169,403
"168",26558,10235,246,"Feyenoord","FEY",154,165,160,489
"169",26559,8614,100646,"Sparta Rotterdam","SPA",NA,140,90,76
"170",26560,10217,650,"ADO Den Haag","HAA",162,181,173,366
"171",26561,6601,NA,"FC Volendam","VOL",NA,NA,NA,38
"172",26562,10228,1913,"SC Heerenveen","HEE",150,171,183,470
"173",26563,10229,1906,"AZ","ALK",154,185,184,492
"174",26564,9761,1904,"NAC Breda","NAC",153,141,143,294
"175",27161,10219,1905,"RKC Waalwijk","RKC",142,159,150,153
"176",27168,9839,100651,"VVV-Venlo","VEN",NA,164,155,152
"177",27780,10218,1971,"Excelsior","EXC",163,162,106,154
"178",29000,6413,1914,"PEC Zwolle","ZWO",137,165,181,204
"179",29617,7788,647,"SC Cambuur","CAM",136,159,138,119
"180",29624,6433,100632,"Go Ahead Eagles","GAE",160,132,141,74
"181",30222,6631,100626,"FC Dordrecht","DOR",134,176,164,24
"182",31443,10265,1873,"Wisla Kraków","WIS",135,183,205,332
"183",31444,8031,111429,"Polonia Bytom","POB",NA,150,185,88
"184",31445,8020,111429,"Polonia Bytom","GOR",NA,150,185,245
"185",31446,1601,874,"Ruch Chorzów","CHO",139,186,175,280
"186",31447,8673,1871,"Legia Warszawa","LEG",141,170,195,409
"187",31448,2183,1570,"P. Warszawa","PWA",NA,180,175,184
"188",31449,8025,111092,"Slask Wroclaw","SLA",140,165,180,318
"189",31450,8030,111091,"Lechia Gdansk","LGD",162,183,205,279
"190",31451,8244,301,"Widzew Lódz","LOD",190,185,158,50
"191",31452,8242,1564,"Odra Wodzislaw","ODR",NA,155,205,50
"192",31453,2182,873,"Lech Poznan","POZ",176,196,160,372
"193",31454,8569,110744,"GKS Belchatów","BEL",143,175,200,190
"194",31455,8322,111082,"Arka Gdynia","ARK",NA,150,205,77
"195",31456,1957,110745,"Jagiellonia Bialystok","BIA",158,163,210,287
"196",31457,8028,111086,"Piast Gliwice","PIG",183,169,195,204
"197",31458,2186,110747,"Cracovia","CKR",125,168,205,235
"198",31925,8245,111083,"Korona Kielce","KKI",192,169,172,237
"199",31928,8021,110749,"Zaglebie Lubin","ZAG",133,192,210,207
"200",32409,8024,301,"Widzew Lódz","WID",190,185,158,122
"201",32891,8033,111087,"Podbeskidzie Bielsko-Biala","POD",193,166,152,169
"202",33377,8023,110746,"Pogon Szczecin","POG",134,185,158,152
"203",33855,8027,112512,"Zawisza Bydgoszcz","ZAW",145,168,143,75
"204",34337,8019,110565,"Górnik Leczna","LEC",140,139,149,61
"205",34816,177361,NA,"Termalica Bruk-Bet Nieciecza","TBN",NA,NA,NA,33
"206",35283,9773,236,"FC Porto","POR",173,196,178,541
"207",35284,9807,1889,"CF Os Belenenses","BEL",157,160,135,148
"208",35285,9768,237,"Sporting CP","SCP",178,204,174,411
"209",35286,7992,NA,"Trofense","TRO",NA,NA,NA,25
"210",35287,7844,1887,"Vitória Guimarães","GUI",131,179,177,300
"211",35288,10238,665,"Vitória Setúbal","SET",149,165,140,238
"212",35289,6403,1892,"FC Paços de Ferreira","FER",142,170,150,292
"213",35290,10264,1896,"SC Braga","BRA",145,166,150,398
"214",35291,10213,NA,"Amadora","AMA",NA,NA,NA,26
"215",35292,10215,1901,"Académica de Coimbra","ACA",150,172,151,240
"216",35293,7841,744,"Rio Ave FC","RA",157,180,153,248
"217",35294,9772,234,"SL Benfica","BEN",178,185,175,568
"218",35295,6421,10018,"Leixões SC","LEI",NA,165,90,55
"219",35296,10214,1891,"CD Nacional","NAC",167,165,156,332
"220",35297,9809,100737,"Naval 1° de Maio","NAV",NA,165,121,71
"221",35298,10212,1893,"CS Marítimo","MAR",182,186,144,316
"222",35769,9771,1895,"União de Leiria, SAD","ULE",NA,150,154,85
"223",35774,2033,111540,"S.C. Olhanense","OLH",147,165,155,138
"224",36248,9765,NA,"Portimonense","POR",NA,NA,NA,29
"225",36253,10211,1897,"SC Beira Mar","B-M",NA,165,155,93
"226",36723,4064,NA,"Feirense","FEI",NA,NA,NA,27
"227",36735,9764,1888,"Gil Vicente FC","GV",176,152,149,110
"228",37210,8348,1900,"Moreirense FC","MOR",139,144,138,101
"229",37214,7842,10020,"Estoril Praia","EST",174,139,150,167
"230",37696,158085,112513,"FC Arouca","ARO",174,160,113,101
"231",38173,6547,100741,"FC Penafiel","PEN",147,146,121,29
"232",38176,8613,1898,"Boavista FC","BOA",153,128,148,51
"233",38789,6367,NA,"Uniao da Madeira","MAD",NA,NA,NA,27
"234",38791,188163,NA,"Tondela","TON",NA,NA,NA,34
"235",39387,8596,79,"Falkirk","FAL",NA,200,200,68
"236",39388,8548,86,"Rangers","RAN",153,210,200,324
"237",39389,9860,80,"Heart of Midlothian","HEA",168,210,200,317
"238",39390,9927,83,"Motherwell","MOT",172,205,200,403
"239",39391,8597,82,"Kilmarnock","KIL",167,205,200,346
"240",39392,10251,81,"Hibernian","HIB",148,200,200,259
"241",39393,8485,77,"Aberdeen","ABE",184,210,200,365
"242",39394,8066,620,"Inverness Caledonian Thistle","INV",169,174,139,345
"243",39395,9925,78,"Celtic","CEL",180,205,200,695
"244",39396,9800,100805,"St. Mirren","MIR",178,210,200,257
"245",39397,8429,184,"Hamilton Academical FC","HAM",143,200,195,185
"246",39398,9938,181,"Dundee United","DUU",171,205,200,438
"247",39853,8467,100804,"St. Johnstone FC","JOH",162,150,142,308
"248",40757,8457,182,"Dunfermline Athletic","DUN",NA,168,148,40
"249",41216,8284,180,"Dundee FC","DUF",142,158,154,127
"250",41217,8649,631,"Ross County FC","ROS",153,153,143,192
"251",41673,8426,1754,"Partick Thistle F.C.","PAR",143,160,143,135
"252",43035,10267,461,"Valencia CF","VAL",116,185,175,484
"253",43036,8661,453,"RCD Mallorca","MAL",172,163,156,238
"254",43037,8371,479,"CA Osasuna","OSA",143,193,177,232
"255",43038,10205,483,"Villarreal CF","VIL",126,161,165,364
"256",43039,9783,242,"RC Deportivo de La Coruña","COR",157,187,154,241
"257",43040,8633,243,"Real Madrid CF","REA",153,200,178,843
"258",43041,8388,477,"CD Numancia","NUM",137,160,158,38
"259",43042,8634,241,"FC Barcelona","BAR",122,175,195,849
"260",43043,8696,456,"Racing Santander","SAN",147,205,168,160
"261",43044,8302,481,"Sevilla FC","SEV",183,206,195,478
"262",43045,9869,459,"Real Sporting de Gijón","SPG",153,185,195,200
"263",43046,8305,1860,"Getafe CF","GET",117,155,164,345
"264",43047,8603,449,"Real Betis Balompié","BET",145,206,165,225
"265",43048,8479,571,"RC Recreativo","HUE",148,140,151,34
"266",43049,8558,452,"RCD Espanyol","ESP",146,196,180,338
"267",43050,10281,462,"Real Valladolid","VAL",153,172,161,170
"268",43051,8315,448,"Athletic Club de Bilbao","BIL",131,184,170,415
"269",43052,9865,1861,"UD Almería","ALM",152,180,193,202
"270",43053,9906,240,"Atlético Madrid","AMA",157,206,160,524
"271",43054,9864,573,"Málaga CF","MAL",129,191,164,377
"272",43800,9868,1742,"Xerez Club Deportivo","XER",NA,159,165,38
"273",43803,8394,244,"Real Zaragoza","ZAR",154,166,158,159
"274",43804,9867,260,"CD Tenerife","TEN",163,180,174,40
"275",44557,10278,100879,"Hércules Club de Fútbol","HER",154,178,160,36
"276",44565,8581,1853,"Levante UD","LEV",171,182,155,241
"277",44569,8560,457,"Real Sociedad","SOC",162,171,171,316
"278",45330,7878,110832,"Granada CF","GRA",166,200,170,179
"279",45333,8370,480,"Rayo Vallecano","RAY",141,161,178,247
"280",46087,9910,450,"RC Celta de Vigo","CEL",169,179,169,184
"281",46848,10268,468,"Elche CF","ELC",171,165,158,65
"282",47605,8372,467,"SD Eibar","EIB",165,179,142,83
"283",47612,7869,1867,"Córdoba CF","COR",146,171,129,22
"284",48358,8306,472,"UD Las Palmas","LAS",147,187,171,45
"285",49115,9956,322,"Grasshopper Club Zürich","GRA",164,184,160,429
"286",49116,6493,1714,"AC Bellinzona","BEL",NA,175,150,128
"287",49117,10192,900,"BSC Young Boys","YB",172,202,170,529
"288",49118,9931,896,"FC Basel","BAS",170,186,180,619
"289",49119,9930,434,"FC Aarau","AAR",156,181,150,153
"290",49120,10179,110770,"FC Sion","SIO",155,177,146,371
"291",49121,10199,897,"FC Luzern","LUZ",165,175,153,421
"292",49122,9824,286,"FC Vaduz","VAD",141,137,133,100
"293",49123,7955,435,"Neuchâtel Xamax","XAM",NA,190,150,171
"294",49124,10243,894,"FC Zürich","ZUR",157,165,163,468
"295",49479,10190,898,"FC St. Gallen","GAL",146,157,155,276
"296",49837,10191,1715,"FC Thun","THU",152,166,145,279
"297",50201,9777,324,"Servette FC","SER",NA,175,170,77
"298",50204,7730,1862,"FC Lausanne-Sports","LAU",141,164,165,99
"299",51606,7896,NA,"Lugano","LUG",NA,NA,NA,46
